1:06:00:01:00,16,0
1:06:00:03:00,0,16
1:06:04:40:00,12,0
1:06:04:41:00,16,0
1:06:04:43:00,0,16
1:06:04:51:00,16,0
1:06:04:53:00,0,16
1:06:05:01:00,16,0
1:06:05:03:00,0,16
1:06:05:11:00,16,0
1:06:05:13:00,0,16
1:06:05:21:00,16,0
1:06:05:23:00,0,16
1:06:05:31:00,0,16
1:06:05:31:00,16,0
1:06:05:38:00,0,16
1:06:05:41:00,16,0
1:06:05:44:00,0,16
1:06:05:51:00,16,0
1:06:05:52:00,1,16
1:06:05:54:00,0,16
1:06:05:59:00,16,0
1:06:06:02:00,1,16
1:06:06:04:00,0,16
1:06:06:05:00,16,0
1:06:06:11:00,16,0
1:06:06:12:00,1,16
1:06:06:14:00,0,16
1:06:06:16:00,16,0
1:06:06:21:00,16,0
1:06:06:22:00,1,16
1:06:06:23:00,0,16
1:06:06:26:00,16,0
1:06:06:30:00,1,16
1:06:06:31:00,0,16
1:06:06:31:00,16,0
1:06:06:36:00,16,0
1:06:06:38:00,1,16
1:06:06:39:00,0,16
1:06:06:41:00,16,0
1:06:06:45:00,0,16
1:06:06:45:00,1,16
1:06:06:46:00,16,0
1:06:06:47:00,0,16
1:06:06:50:00,0,16
1:06:06:51:00,16,0
1:06:06:54:00,0,16
1:06:06:55:00,16,1
1:06:06:59:00,16,0
1:06:07:00:00,1,16
1:06:07:02:00,0,16
1:06:07:03:00,16,1
1:06:07:04:00,0,16
1:06:07:07:00,16,0
1:06:07:08:00,1,16
1:06:07:11:00,16,1
1:06:07:12:00,0,16
1:06:07:14:00,16,0
1:06:07:18:00,0,16
1:06:07:18:00,16,1
1:06:07:20:00,0,16
1:06:07:22:00,16,0
1:06:07:26:00,1,16
1:06:07:26:00,16,1
1:06:07:27:00,0,16
1:06:07:29:00,16,0
1:06:07:33:00,1,16
1:06:07:33:00,16,1
1:06:07:35:00,0,16
1:06:07:37:00,16,0
1:06:07:41:00,1,16
1:06:07:41:00,16,1
1:06:07:42:00,0,16
1:06:07:44:00,16,0
1:06:07:48:00,1,16
1:06:07:48:00,16,1
1:06:07:50:00,0,16
1:06:07:52:00,16,0
1:06:07:56:00,1,16
1:06:07:56:00,16,1
1:06:07:57:00,0,16
1:06:07:59:00,16,0
1:06:08:03:00,1,16
1:06:08:03:00,16,1
1:06:08:05:00,0,16
1:06:08:07:00,16,0
1:06:08:11:00,1,16
1:06:08:11:00,16,1
1:06:08:12:00,0,16
1:06:08:14:00,16,0
1:06:08:18:00,1,16
1:06:08:18:00,16,1
1:06:08:20:00,0,16
1:06:08:22:00,16,0
1:06:08:26:00,1,16
1:06:08:26:00,16,1
1:06:08:27:00,0,16
1:06:08:29:00,16,0
1:06:08:33:00,1,16
1:06:08:33:00,16,1
1:06:08:35:00,0,16
1:06:08:37:00,16,0
1:06:08:41:00,1,16
1:06:08:41:00,16,1
1:06:08:42:00,0,16
1:06:08:44:00,16,0
1:06:08:48:00,1,16
1:06:08:48:00,16,1
1:06:08:50:00,0,16
1:06:08:52:00,16,0
1:06:08:56:00,1,16
1:06:08:56:00,16,1
1:06:08:57:00,0,16
1:06:08:59:00,16,0
1:06:19:01:00,0,16
1:06:19:03:00,16,1
1:06:19:07:00,0,16
1:06:19:08:00,16,0
1:06:19:13:00,0,16
1:06:19:13:00,16,0
1:06:19:18:00,16,1
1:06:19:19:00,0,16
1:06:19:23:00,16,0
1:06:19:25:00,0,16
1:06:19:28:00,16,0
1:06:19:32:00,0,16
1:06:19:34:00,16,0
1:06:19:40:00,0,16
1:06:19:40:00,16,0
1:06:19:46:00,16,0
1:06:19:47:00,0,16
1:06:19:52:00,16,0
1:06:19:55:00,0,16
1:06:19:58:00,16,0
1:06:20:02:00,0,16
1:06:20:05:00,16,0
1:06:20:10:00,0,16
1:06:20:13:00,16,0
1:06:20:16:00,0,16
1:06:20:20:00,16,0
1:06:20:25:00,0,16
1:06:20:28:00,16,0
1:06:20:32:00,0,16
1:06:20:35:00,16,0
1:06:20:40:00,0,16
1:06:20:43:00,16,0
1:06:20:47:00,0,16
1:06:20:50:00,16,0
1:06:20:55:00,0,16
1:06:20:58:00,16,0
1:06:21:02:00,0,16
1:06:21:05:00,16,0
1:06:21:10:00,0,16
1:06:21:13:00,16,0
1:06:21:16:00,0,16
1:06:21:20:00,16,0
1:06:21:25:00,0,16
1:06:21:28:00,16,0
1:06:21:32:00,0,16
1:06:21:35:00,16,0
1:06:21:40:00,0,16
1:06:21:43:00,16,0
1:06:21:47:00,0,16
1:06:21:51:00,16,0
1:06:21:55:00,0,16
1:06:22:01:00,16,0
1:06:22:03:00,0,16
1:06:22:11:00,16,0
1:06:22:13:00,0,16
1:06:22:21:00,16,0
1:06:22:23:00,0,16
1:06:22:31:00,16,0
1:06:22:33:00,0,16
1:06:22:41:00,16,0
1:06:22:43:00,0,16
1:06:22:51:00,16,0
1:06:22:53:00,0,16
1:06:23:01:00,16,0
1:06:23:03:00,0,16
1:06:23:11:00,16,0
1:06:23:13:00,0,16
1:06:23:21:00,16,0
1:06:23:23:00,0,16
1:06:23:31:00,16,0
1:06:23:33:00,0,16
1:06:23:41:00,16,0
1:06:23:43:00,0,16
1:06:23:51:00,16,0
1:06:23:53:00,0,16
